Name,Baking,Beverages,Bread,Canned Goods,Cereal,Dairy,Frozen Foods,Juice,Meat,Pasta,Produce,Refrigerated items,Snacks
Cost (¢/cal),0.5,0.2,0.5,0.5,0.4,0.5,0.7,0.7,0.5,0.3,2,0.5,0.4
Calories (per 100g),240,43,246,196,344,185,167,33,214,334,38,201,446
Sugar (g/100g),22.9,8.9,6.1,0.5,26,5.7,55,7.7,32,9.8,4.8,13.5,25.4
